date;site;point1;point2;measure;value;p.rand.inf;p.rand.sup;mean.rand;up.rand;low.rand
2017-07-16;arugot;night;day;association_stability;0,573485129011186;0,05;0,95;0,686136527430137;0,700214890124035;0,67205816473624
2017-07-16;david;night;day;size_com;2;0,54;0,46;3,16466526431315;3,31905742105519;3,01027310757111
2017-07-16;david;night;day;modularity_can;0,155;0,97;0,03;0,02950074722;0,0399275256651633;0,0190739687748367
2017-07-16;david;night;day;transitivity_can;0,4285714;0,87;0,13;0,270102071;0,29763096416937;0,24257317783063
2017-07-16;david;night;day;transitivity_com;NA;1;1;NA;NA;NA
2017-07-16;david;night;day;density_can;0,13333333;0,04;0,96;0,2137777751;0,222063296129992;0,205492254070008
2017-07-16;david;night;day;density_com;0,033068785;0,07;0,93;0,312082294445705;0,33063880615181;0,293525782739599
2017-07-16;david;night;day;deg_assor_can;1,1594203;0,98;0,03;0,15509689030303;0,193936480697093;0,116257299908967
2017-07-16;david;night;day;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-16;david;night;day;sex_assor_can;0,00240349999999998;0,05;0,95;0,0285933514;0,0326426073930328;0,0245440954069672
2017-07-16;david;night;day;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-16;david;night;day;wei_assor_can;0,263119398;0,24;0,76;0,3246177489;0,339967257047857;0,309268240752143
2017-07-16;david;night;day;wei_assor_com;0,3794688;0,85;0,15;0,223343359182215;0,233200210769637;0,213486507594792
2017-07-16;david;night;day;degree;1,2;0,04;0,96;1,928;2,04714665286851;1,80885334713149
2017-07-16;david;night;day;local_clustering;0,38333333;0,67;0,33;0,3239666635;0,344434673563857;0,303498653436143
2017-07-16;david;night;day;strength;20,978591;0,02;0,98;23,7470252406;25,2793560479863;22,2146944332137
2017-07-16;david;night;day;eigen;47,622028;0,97;0,03;26,71978438205;28,3447069190689;25,0948618450311
2017-07-16;david;night;day;betweenness;3,6507936;0,16;0,84;16,397521658885;18,4026916337188;14,3923516840513
2017-07-16;david;night;day;social_differentiation;0,70164269;0,84;0,16;0,5703573908968;0,607412431031546;0,533302350762054
2017-07-16;david;night;day;association_stability;0,460265734683394;0,96;0,04;0,364743914960749;0,375484510101021;0,354003319820478
2017-07-17;arugot;day;night;size_com;2,66666666666667;0,2;0,8;6,60073966854048;6,77575391662849;6,42572542045247
2017-07-17;arugot;day;night;modularity_can;0,12625;0,91;0,09;0,0586112044;0,07512992011669;0,04209248868331
2017-07-17;arugot;day;night;transitivity_can;0;0;1;0,081791568;0,0944104488663958;0,0691726871336042
2017-07-17;arugot;day;night;transitivity_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;day;night;density_can;0,03684211;0,03;0,97;0,1066315842;0,111438229110176;0,101824939289824
2017-07-17;arugot;day;night;density_com;0,0868376080000001;0,27;0,73;0,207198527749405;0,213543729686823;0,200853325811987
2017-07-17;arugot;day;night;deg_assor_can;0,2058824;0,54;0,46;0,2000741092;0,225356453767567;0,174791764632433
2017-07-17;arugot;day;night;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;day;night;sex_assor_can;0,0266131;0,07;0,93;0,28085659269;0,314360225472809;0,247352959907191
2017-07-17;arugot;day;night;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;day;night;wei_assor_can;0,939799;0,96;0,04;0,65285378855;0,691619901777827;0,614087675322173
2017-07-17;arugot;day;night;wei_assor_com;0,0820312333333333;0,0600000000000001;0,94;0,364467402579769;0,375529065329423;0,353405739830115
2017-07-17;arugot;day;night;degree;0,8;0;1;2,249;2,34180037263768;2,15619962736232
2017-07-17;arugot;day;night;local_clustering;0,11666667;0;1;0,258525977015;0,272519545506577;0,244532408523423
2017-07-17;arugot;day;night;strength;36,69283485;1;0;19,0400108505;19,9675012854565;18,1125204155435
2017-07-17;arugot;day;night;eigen;16,1096079;0,03;0,97;41,946001942565;43,620016099184;40,271987785946
2017-07-17;arugot;day;night;betweenness;12,9629633333333;0,28;0,72;16,4600994016881;17,6835727189889;15,2366260843873
2017-07-17;arugot;day;night;social_differentiation;0,8898988975;1;0;0,197987476094;0,211885432134767;0,184089520053233
2017-07-17;arugot;day;night;association_stability;0,266997762592587;0;1;0,654603360325109;0,673415002464029;0,635791718186189
2017-07-17;david;day;night;size_com;5;0,09;0,91;5,48296296296296;5,52936322490679;5,43656270101914
2017-07-17;david;day;night;modularity_can;0,4897959;1;0;0,0673036946999999;0,0724278539821061;0,0621795354178937
2017-07-17;david;day;night;transitivity_can;0,5714286;0,92;0,08;0,380131341;0,405851114860294;0,354411567139706
2017-07-17;david;day;night;transitivity_com;0,5;0,84;0,16;0,29364290129612;0,307145507369417;0,280140295222822
2017-07-17;david;day;night;density_can;0,08888889;0;1;0,306888887;0,316304204644879;0,297473569355121
2017-07-17;david;day;night;density_com;0,528571425;0,13;0,87;0,684944172856437;0,693682881886978;0,676205463825897
2017-07-17;david;day;night;deg_assor_can;NA;1;1;NA;NA;NA
2017-07-17;david;day;night;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-17;david;day;night;sex_assor_can;NA;1;1;NA;NA;NA
2017-07-17;david;day;night;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-17;david;day;night;wei_assor_can;0,5568346;0,03;0,97;0,69156384244;0,712206744192332;0,670920940687668
2017-07-17;david;day;night;wei_assor_com;0,2669097;0,03;0,97;0,590652839852268;0,602939970693304;0,578365709011232
2017-07-17;david;day;night;degree;0,8;0;1;2,762;2,88764281721578;2,63635718278422
2017-07-17;david;day;night;local_clustering;0;0;1;0,39404761859;0,41572053273695;0,37237470444305
2017-07-17;david;day;night;strength;41,718621;1;0;32,364406589;33,8783809187865;30,8504322592135
2017-07-17;david;day;night;eigen;61,5729891;0,96;0,04;48,26889892636;50,7131187546608;45,8246790980592
2017-07-17;david;day;night;betweenness;5,333333;0,05;0,95;11,8517776594763;12,9984418643587;10,7051134545939
2017-07-17;david;day;night;social_differentiation;0,855960758;1;0;0,589837887652;0,629898314050482;0,549777461253518
2017-07-17;david;day;night;association_stability;0,313655564747273;0,03;0,97;0,373275822148605;0,378944641530542;0,367607002766669
2017-07-17;arugot;night;day;size_com;2,66666666666667;0,05;0,95;6,66564263343959;6,83030766289521;6,50097760398398
2017-07-17;arugot;night;day;modularity_can;0,095;0,62;0,38;0,0893809748;0,100908843791423;0,0778531058085767
2017-07-17;arugot;night;day;transitivity_can;0,25;0,51;0,49;0,259760539;0,276791371309881;0,242729706690119
2017-07-17;arugot;night;day;transitivity_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;night;day;density_can;0,01578948;0,08;0,92;0,0434736917;0,0470007395872069;0,0399466438127931
2017-07-17;arugot;night;day;density_com;0,0328205119999999;0,04;0,96;0,320804518611096;0,326451677898606;0,315157359323586
2017-07-17;arugot;night;day;deg_assor_can;0,7941176;1;0;0,1804349899;0,207589114193711;0,153280865606289
2017-07-17;arugot;night;day;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;night;day;sex_assor_can;0,6634568;1;0;0,1508715666;0,174440852012487;0,127302281187513
2017-07-17;arugot;night;day;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-17;arugot;night;day;wei_assor_can;0,07361603;0,13;0,87;0,18984877276;0,210688062027448;0,169009483492552
2017-07-17;arugot;night;day;wei_assor_com;0,463082293333333;0,99;0,01;0,250324530350979;0,255130116913038;0,245518943788919
2017-07-17;arugot;night;day;degree;0,5;0;1;1,69;1,75126638194798;1,62873361805202
2017-07-17;arugot;night;day;local_clustering;0,183333335;0,04;0,96;0,274186689075;0,287426047863156;0,260947330286844
2017-07-17;arugot;night;day;strength;30,17456865;1;0;15,0434063655;15,7907320876728;14,2960806433272
2017-07-17;arugot;night;day;eigen;44,4354107;0,62;0,38;43,33326280041;45,0192410074023;41,6472845934176
2017-07-17;arugot;night;day;betweenness;9,25925944444444;0,28;0,72;12,7947324327839;13,6659389929042;11,9235258726635
2017-07-17;arugot;night;day;social_differentiation;0,8315637365;1;0;0,200236620468;0,214472434483945;0,186000806452055
2017-07-17;arugot;night;day;association_stability;0,408339425609043;0;1;0,589185672622699;0,59776726512602;0,580604080119378
2017-07-17;david;night;day;size_com;0;0;1;2,41240755157649;2,47731160277392;2,34750350037906
2017-07-17;david;night;day;modularity_can;0,0102041;0,26;0,74;0,0403120884;0,051747296607925;0,028876880192075
2017-07-17;david;night;day;transitivity_can;0,4285714;0,86;0,14;0,244406506;0,276614190199157;0,212198821800843
2017-07-17;david;night;day;transitivity_com;0,5;0,73;0,27;0,318085236358667;0,333853487344991;0,302316985372344
2017-07-17;david;night;day;density_can;0,06666667;0;1;0,1982222116;0,2065526460583;0,1898917771417
2017-07-17;david;night;day;density_com;0,21428571;0,49;0,51;0,24756761602368;0,260813883406018;0,234321348641341
2017-07-17;david;night;day;deg_assor_can;0,3333333;0,84;0,16;0,1996059816;0,230049612771258;0,169162350428742
2017-07-17;david;night;day;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-17;david;night;day;sex_assor_can;0,13887231;0,46;0,54;0,2009602989;0,227475452569194;0,174445145230806
2017-07-17;david;night;day;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-17;david;night;day;wei_assor_can;0,27414895;0,94;0,0600000000000001;0,16839380898;0,184123267753988;0,152664350206012
2017-07-17;david;night;day;wei_assor_com;0,439921825;0,96;0,04;0,19444184874106;0,203959834535434;0,184923862946687
2017-07-17;david;night;day;degree;0,6;0;1;1,818;1,90686887315624;1,72913112684376
2017-07-17;david;night;day;local_clustering;0,3;0,18;0,82;0,38417619307;0,406349383839342;0,362003002300658
2017-07-17;david;night;day;strength;20,72;0,26;0,74;23,971561338;25,3566051231143;22,5865175528857
2017-07-17;david;night;day;eigen;29,3715877;0,04;0,96;50,77494270942;53,1342124205522;48,4156729982878
2017-07-17;david;night;day;betweenness;14,6666663;0,22;0,78;20,1080701558174;22,0485091587716;18,1676311528631
2017-07-17;david;night;day;social_differentiation;0,505281759;0,13;0,87;0,579028485929;0,616209526398387;0,541847445459613
2017-07-17;david;night;day;association_stability;0,574070059907684;0,87;0,13;0,315277105141152;0,351636768881658;0,278917441400646
2017-07-18;arugot;day;night;size_com;1,66666666666667;0,05;0,95;6,52483188781995;6,70948833252224;6,34017544311767
2017-07-18;arugot;day;night;modularity_can;0,1001276;0,6;0,4;0,0917920918;0,100636197332427;0,0829479862675732
2017-07-18;arugot;day;night;transitivity_can;0,1184211;0,08;0,92;0,300830803;0,320749144312742;0,280912461687258
2017-07-18;arugot;day;night;transitivity_com;NA;1;1;NA;NA;NA
2017-07-18;arugot;day;night;density_can;0,03157895;0,4;0,6;0,038157905;0,0410642348347913;0,0352515751652087
2017-07-18;arugot;day;night;density_com;0,171231545;0,14;0,86;0,337931579389296;0,344325501597126;0,331537657181465
2017-07-18;arugot;day;night;deg_assor_can;0,3375796;0,77;0,23;0,219115960875;0,248831051175043;0,189400870574957
2017-07-18;arugot;day;night;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-18;arugot;day;night;sex_assor_can;0,518283206;0,95;0,05;0,24879518317;0,270903974247695;0,226686392092305
2017-07-18;arugot;day;night;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-18;arugot;day;night;wei_assor_can;0,40683942;0,65;0,35;0,37262481383;0,387847672180909;0,357401955479091
2017-07-18;arugot;day;night;wei_assor_com;0,014325875;0;1;0,261658941734529;0,267567020218077;0,255750863250981
2017-07-18;arugot;day;night;degree;0,6;0;1;1,359;1,42232365675579;1,29567634324421
2017-07-18;arugot;day;night;local_clustering;0,275;0,9;0,1;0,216424605125;0,228148047679563;0,204701162570437
2017-07-18;arugot;day;night;strength;19,5068819;0,98;0,02;14,6023188285;15,3468776468361;13,8577600101639
2017-07-18;arugot;day;night;eigen;40,74558695;0,26;0,74;53,51265528987;55,2590675289944;51,7662430507456
2017-07-18;arugot;day;night;betweenness;4,32098777777778;0,12;0,88;13,0930104772052;14,1886521757996;11,9973687786107
2017-07-18;arugot;day;night;social_differentiation;0,69165950295;0,99;0,01;0,3741075407965;0,399430166731638;0,348784914861362
2017-07-18;arugot;day;night;association_stability;0,700057544955391;0,33;0,67;0,719928439338279;0,726307467606731;0,713549411069828
2017-07-18;david;day;night;size_com;5;0,56;0,44;4,5875;4,67279392254672;4,50220607745328
2017-07-18;david;day;night;modularity_can;0,4628099;1;0;0,105667981;0,117881382145116;0,0934545798548842
2017-07-18;david;day;night;transitivity_can;0,25;0;1;0,497566746;0,51759016697304;0,47754332502696
2017-07-18;david;day;night;transitivity_com;0,3;0,12;0,88;0,42510062405034;0,434997366556311;0,415203881544369
2017-07-18;david;day;night;density_can;0,17777777;0,02;0,98;0,2866666728;0,29489797657411;0,27843536902589
2017-07-18;david;day;night;density_com;0,5;0,45;0,55;0,594172020958107;0,605251186154604;0,583092855761609
2017-07-18;david;day;night;deg_assor_can;NA;1;1;NA;NA;NA
2017-07-18;david;day;night;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-18;david;day;night;sex_assor_can;0,260395463;0,19;0,81;0,38524071015;0,404691013027899;0,365790407272101
2017-07-18;david;day;night;sex_assor_com;0,247892065;0,46;0,54;0,208510100593196;0,219345134303467;0,197675066882925
2017-07-18;david;day;night;wei_assor_can;0,08486939;0,19;0,81;0,17969940104;0,195337339306;0,164061462774
