X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
10,85,0.784288688154975,0.99,0.789596883769135,0.99,0.01,0.0148936170212766,tomato
10,90,0.772182336704774,1,0.777506500293282,1,0,0,tomato
10,95,0.775852840162165,1,0.781154769535943,1,0,0,tomato
10,100,0.784041626202898,1,0.789225389299775,1,0,0,tomato
15,20,0.998251245763311,1,0.998305906724995,1,0,0,tomato
15,25,0.788351741385615,0.89,0.79555913046955,0.89,0.11,0.1155,white
15,30,0.780491420108246,0.91,0.78768189736506,0.9,0.1,0.105527638190955,white
15,35,0.772649843791527,0.54,0.779830203431193,0.54,0.46,0.462200956937799,white
15,40,0.769810578515323,0.93,0.777007397194452,0.93,0.07,0.0777777777777778,white
15,45,0.757543937738802,0.98,0.76456565798031,0.98,0.02,0.0270967741935484,tomato
15,50,0.749533084258879,0.98,0.756516403323583,0.98,0.02,0.0270967741935484,tomato
15,55,0.746263356051923,0.98,0.753265131008919,0.98,0.02,0.0270967741935484,tomato
15,60,0.744348952905225,0.97,0.751318831184124,0.97,0.03,0.0384146341463415,tomato
15,65,0.744795360692244,0.95,0.751721600276481,0.95,0.05,0.0583333333333334,white
15,70,0.742044756384056,0.98,0.749005044310286,0.98,0.02,0.0270967741935484,tomato
15,75,0.741900610267343,0.98,0.748837640244826,0.98,0.02,0.0270967741935484,tomato
15,80,0.730822624004948,0.97,0.737778321901059,0.97,0.03,0.0384146341463415,tomato
15,85,0.730128632947981,0.98,0.737065979531834,0.98,0.02,0.0270967741935484,tomato
15,90,0.720024233908195,0.97,0.726931849625553,0.97,0.03,0.0384146341463415,tomato
15,95,0.723023416829218,0.97,0.72992763604963,0.97,0.03,0.0384146341463415,tomato
15,100,0.730027460181861,0.98,0.736858678133451,0.98,0.02,0.0270967741935484,tomato
20,25,0.797381614319217,0.78,0.804179265143988,0.78,0.22,0.226470588235294,white
20,30,0.791802665122151,0.87,0.798535485244153,0.87,0.13,0.135148514851485,white
20,35,0.785071875558981,0.67,0.791781950346207,0.66,0.34,0.344927536231884,white
20,40,0.783640648163367,0.88,0.790328974239692,0.88,0.12,0.125373134328358,white
20,45,0.773944054836317,0.96,0.780423830611565,0.96,0.04,0.0491228070175439,tomato
20,50,0.76715289362247,0.95,0.773578011038429,0.95,0.05,0.0583333333333334,white
20,55,0.764093043503109,0.95,0.770535280344274,0.95,0.05,0.0583333333333334,white
20,60,0.763120569417862,0.95,0.769510175477474,0.95,0.05,0.0583333333333334,white
20,65,0.763614200872949,0.95,0.769961482827428,0.95,0.05,0.0583333333333334,white
20,70,0.761239169174664,0.97,0.767612202426866,0.97,0.03,0.0384146341463415,tomato
