"","X","Y","R.cosine.w","P.cosine.w","R.cosine.b","P.cosine.b","P.transform","P.adjust","class.w","class.b"
"139",2017-07-15 11:00:00,2017-07-30 11:00:00,0.470091860454431,0.8,0.777777777777778,1,0,0,"white","tomato"
"140",2017-07-15 11:00:00,2017-07-30 23:00:00,0.215865697131739,0.9,0.47628967220784,1,0,0,"white","tomato"
"141",2017-07-15 11:00:00,2017-07-31 11:00:00,0.41150349068611,0.8,0.753778361444409,1,0,0,"white","tomato"
"142",2017-07-15 11:00:00,2017-07-31 23:00:00,0.237057681881828,0.75,0.416666666666667,0.43,0.43,0.435371466140697,"white","white"
"143",2017-07-15 11:00:00,2017-08-01 11:00:00,0.407830083106686,0.37,0.685160159703149,1,0,0,"white","tomato"
"144",2017-07-15 11:00:00,2017-08-01 23:00:00,0.440947816651281,0.34,0.670820393249937,1,0,0,"white","tomato"
"145",2017-07-15 11:00:00,2017-08-02 11:00:00,0.499215381160158,0.97,0.757033298610225,1,0,0,"tomato","tomato"
"146",2017-07-15 11:00:00,2017-08-02 23:00:00,0.450393797703147,0.74,0.521749194749951,0.99,0.01,0.0133448873483536,"white","tomato"
"147",2017-07-15 11:00:00,2017-08-03 11:00:00,0.459270503306445,0.76,0.707106781186547,1,0,0,"white","tomato"
"148",2017-07-15 11:00:00,2017-08-03 23:00:00,0.413819456559637,0.89,0.680413817439772,1,0,0,"white","tomato"
"149",2017-07-15 11:00:00,2017-08-04 11:00:00,0.543499034190685,0.91,0.702959491566638,1,0,0,"white","tomato"
"150",2017-07-15 11:00:00,2017-08-04 23:00:00,0.491602737305728,0.84,0.481125224324688,1,0,0,"white","tomato"
"151",2017-07-15 11:00:00,2017-08-05 11:00:00,0.467845710518062,0.86,0.700300975251854,1,0,0,"white","tomato"
"152",2017-07-15 11:00:00,2017-08-05 23:00:00,0.26312213278293,0.8,0.547722557505166,0.99,0.01,0.0133448873483536,"white","tomato"
"153",2017-07-15 11:00:00,2017-08-06 11:00:00,0.279035055883913,0.59,0.4325904563487,0.95,0.05,0.0590490797546013,"white","white"
"154",2017-07-15 11:00:00,2017-08-06 23:00:00,0.541557089083013,0.39,0.639602149066831,1,0,0,"white","tomato"
"155",2017-07-15 11:00:00,2017-08-07 11:00:00,0.538237307367748,0.81,0.712696645099798,1,0,0,"white","tomato"
"156",2017-07-15 11:00:00,2017-08-07 23:00:00,0.174715887072551,0.69,0.356348322549899,0.48,0.48,0.480936890045543,"white","white"
"157",2017-07-15 11:00:00,2017-08-08 11:00:00,0.473154819711385,0.76,0.688062462056187,1,0,0,"white","tomato"
"158",2017-07-15 11:00:00,2017-08-08 23:00:00,0.296434658355734,0.63,0.547722557505166,0.97,0.03,0.0371980676328503,"white","tomato"
"159",2017-07-15 11:00:00,2017-08-09 11:00:00,0.53776128909848,0.92,0.653274579918488,1,0,0,"white","tomato"
"160",2017-07-15 11:00:00,2017-08-09 23:00:00,0.473585321815832,0.55,0.5,1,0,0,"white","tomato"
"161",2017-07-15 11:00:00,2017-08-10 11:00:00,0.460159492542885,0.67,0.739600261633639,1,0,0,"white","tomato"
"162",2017-07-15 11:00:00,2017-08-10 23:00:00,0.383061715765048,0.4,0.692934867183583,1,0,0,"white","tomato"
"163",2017-07-15 23:00:00,2017-07-16 11:00:00,0.56174403300501,0.96,0.530330085889911,1,0,0,"tomato","tomato"
"164",2017-07-15 23:00:00,2017-07-16 23:00:00,0.257540425530425,0.55,0.505181485540923,1,0,0,"white","tomato"
"165",2017-07-15 23:00:00,2017-07-17 11:00:00,0.341834715132454,0.54,0.421350485800192,0.99,0.01,0.0133448873483536,"white","tomato"
"166",2017-07-15 23:00:00,2017-07-17 23:00:00,0.42420214027135,0.79,0.288675134594813,0.96,0.04,0.0483896307934015,"white","tomato"
"167",2017-07-15 23:00:00,2017-07-18 11:00:00,0.497452788247444,0.99,0.622752368779528,1,0,0,"tomato","tomato"
"168",2017-07-15 23:00:00,2017-07-18 23:00:00,0.317187173727603,0.92,0.348155311911396,0.93,0.07,0.0812358703843256,"white","white"
