"individual1","individual2","dyad","deployment","group","retreived","sex"
"202000","219673","202000:219673",2018,"Between","1_logger","F:M"
"203828","204510","203828:204510",2018,"Between","1_logger","F:M"
"204510","218507","204510:218507",2018,"Between","1_logger","F:M"
"204510","217145","204510:217145",2018,"Between","1_logger","F:M"
"216956","219673","216956:219673",2018,"Between","1_logger","F:M"
"202119","217145","202119:217145",2018,"Between","1_logger","F:F"
"216968","219247","216968:219247",2018,"Between","1_logger","M:M"
"216893","216968","216893:216968",2018,"Between","1_logger","M:M"
"202000","217579","202000:217579",2018,"Between","1_logger","F:F"
"202000","216893","202000:216893",2018,"Between","1_logger","F:M"
"216956","216968","216956:216968",2018,"Between","1_logger","F:M"
"202523","204390","202523:204390",2018,"Within","1_logger","F:M"
"216973","217888","216973:217888",2018,"Within","1_logger","M:M"
"202523","217579","202523:217579",2018,"Within","1_logger","F:M"
"203478","216893","203478:216893",2018,"Between","1_logger","F:M"
"216893","216956","216893:216956",2018,"Between","1_logger","F:M"
"203046","203581","203046:203581",2018,"Between","1_logger","F:M"
"204399","218271","204399:218271",2018,"Between","1_logger","F:M"
"204399","204510","204399:204510",2018,"Between","1_logger","F:M"
"204510","218271","204510:218271",2018,"Within","1_logger","M:M"
"204510","216956","204510:216956",2018,"Between","1_logger","F:M"
"203847","217888","203847:217888",2018,"Within","2_logger","M:M"
"202523","216968","202523:216968",2018,"Within","1_logger","M:M"
"202000","219204","202000:219204",2018,"Between","1_logger","F:M"
"216956","219204","216956:219204",2018,"Between","1_logger","F:M"
"202523","216956","202523:216956",2018,"Between","1_logger","F:M"
"202000","202523","202000:202523",2018,"Between","1_logger","F:M"
"217888","218646","217888:218646",2018,"Between","2_logger","F:M"
"203581","217888","203581:217888",2018,"Between","2_logger","M:M"
"202523","203478","202523:203478",2018,"Between","1_logger","F:M"
"203694","217888","203694:217888",2018,"Between","2_logger","M:M"
"203581","204399","203581:204399",2018,"Between","1_logger","F:M"
"202119","204399","202119:204399",2018,"Between","1_logger","F:F"
"204399","218646","204399:218646",2018,"Between","1_logger","F:F"
"202523","203770","202523:203770",2018,"Within","1_logger","F:M"
"203046","217888","203046:217888",2018,"Between","1_logger","F:M"
"202523","219204","202523:219204",2018,"Between","1_logger","M:M"
"202177","217888","202177:217888",2018,"Between","2_logger","F:M"
"202177","204399","202177:204399",2018,"Between","1_logger","F:F"
"202177","203046","202177:203046",2018,"Between","1_logger","F:F"
"202119","217888","202119:217888",2018,"Between","2_logger","F:M"
"202119","203046","202119:203046",2018,"Between","1_logger","F:F"
"204399","217888","204399:217888",2018,"Between","1_logger","F:M"
"203770","204510","203770:204510",2018,"Between","1_logger","F:M"
"203478","216968","203478:216968",2018,"Between","1_logger","F:M"
"203478","217579","203478:217579",2018,"Between","1_logger","F:F"
"203140","218340","203140:218340",2018,"Within","2_logger","M:M"
"203140","217888","203140:217888",2018,"Within","2_logger","M:M"
"203140","203694","203140:203694",2018,"Between","2_logger","M:M"
"203581","216956","203581:216956",2018,"Between","1_logger","F:M"
"202285","204390","202285:204390",2018,"Within","1_logger","F:F"
"202285","203770","202285:203770",2018,"Within","1_logger","F:F"
"202119","219520","202119:219520",2018,"Within","2_logger","F:F"
"218646","219520","218646:219520",2018,"Within","2_logger","F:F"
"202177","219520","202177:219520",2018,"Within","2_logger","F:F"
"204390","218594","204390:218594",2018,"Between","1_logger","F:M"
"203478","204390","203478:204390",2018,"Between","1_logger","F:F"
"203770","218594","203770:218594",2018,"Between","1_logger","F:M"
"203140","203847","203140:203847",2018,"Within","2_logger","M:M"
"187214","203478","187214:203478",2018,"Within","1_logger","F:F"
"202119","203694","202119:203694",2018,"Between","2_logger","F:M"
"203140","204510","203140:204510",2018,"Within","1_logger","M:M"
"203478","203770","203478:203770",2018,"Between","1_logger","F:F"
"187214","202285","187214:202285",2018,"Between","1_logger","F:F"
"203581","219520","203581:219520",2018,"Within","2_logger","F:M"
"204390","217772","204390:217772",2018,"Between","1_logger","F:M"
"204510","218646","204510:218646",2018,"Between","1_logger","F:M"
"204510","219520","204510:219520",2018,"Between","1_logger","F:M"
"203581","204510","203581:204510",2018,"Between","1_logger","M:M"
